entity_type	entity_id	place_id	year_start	year_end	reason_predicate_id	stance	path_signature
person	paul	sidon	59	59	active_in		path-46a2d3f5b6593798
person	agrippa-ii	caesarea	59	60	active_in		path-82ed0dd6f9f034aa
person	bernice	caesarea	59	60	active_in		path-05ae00e2e31a0218
person	festus	caesarea	59	60	active_in		path-c85b76682196682b
group	colossian-church	colossae	60	60	group_present_at		path-ca6e3f4b9c91c581
group	disciples-of-jesus	puteoli	60	60	group_present_at		path-1ca8e8cc9b94b062
work	epistle-to-the-colossians	colossae	60	60	addressed_to_place		path-694dec4e8a0b0240
work	epistle-to-the-ephesians	ephesus	60	60	addressed_to_place		path-2ab02866656f11c3
proposition	jesus-is-proclaimed-as-raised	colossae	60	60	derived_proposition_presence	affirms	drv-f3a543b0d597619e
proposition	jesus-is-proclaimed-as-raised	ephesus	60	60	derived_proposition_presence	affirms	drv-a46efec102d3e5db
group	laodicean-church	laodicea	60	60	group_present_at		path-e6fa1e76c507326f
person	paul	appii-forum	60	60	active_in		path-d612404aa6cc5f68
person	paul	malta	60	60	active_in		path-b877863729073723
person	paul	puteoli	60	60	active_in		path-44f86958b068e1e8
person	paul	rhegium	60	60	active_in		path-b1f99d7484bf1a85
person	paul	syracuse	60	60	active_in		path-e94dc69fbb5c078b
person	paul	three-taverns	60	60	active_in		path-ad848e73947e39b7
person	publius	malta	60	60	active_in		path-f88faa4820bc25cd
person	archippus	colossae	60	62	active_in		path-4425da9f7a84828b
group	disciples-of-jesus	hierapolis	60	62	group_present_at		path-399ca4003bafc905
person	epaphras	colossae	60	62	active_in		path-2b71c2fededbb458
person	epaphras	hierapolis	60	62	active_in		path-757725fa7d33aa68
person	epaphras	laodicea	60	62	active_in		path-81df5de7a092cf53
person	epaphroditus	philippi	60	62	active_in		path-51b7084d4021b9b3
person	euodia	philippi	60	62	active_in		path-21a39703e9e85075
person	nympha	laodicea	60	62	active_in		path-537bf93aa8f05f5f
person	onesimus	colossae	60	62	active_in		path-facee8987f5f075f
person	paul	rome	60	62	active_in		path-38539d4397b1783e
person	syntyche	philippi	60	62	active_in		path-a2e10bd2eed03ef5
person	luke-the-evangelist	rome	60	64	active_in		path-70621a7af09cea11
work	epistle-to-philemon	colossae	61	61	addressed_to_place		path-243ad889f3edd5d8
work	epistle-to-the-philippians	philippi	61	61	addressed_to_place		path-2fb1df66de3f50ed
proposition	jesus-is-proclaimed-as-raised	philippi	61	61	derived_proposition_presence	affirms	drv-bbc6be74e51e6572
group	disciples-of-jesus	asia	62	64	group_present_at		path-013a873485640f67
group	disciples-of-jesus	bithynia	62	64	group_present_at		path-75f9b5e60202f306
group	disciples-of-jesus	cappadocia	62	64	group_present_at		path-e6dab0d1ab2a9f40
group	disciples-of-jesus	galatia	62	64	group_present_at		path-d5cda592eec3bd7e
group	disciples-of-jesus	pontus	62	64	group_present_at		path-89ef197ef5ae96c2
