edge_id	from_type	from_id	to_type	to_id	relation_kind	directness	rule_id	year_start	year_end	certainty	supporting_claim_ids	path_text
edge-c7386b427e36be38	proposition	baptism-effects-regeneration	place	carthage	proposition_place	derived	work_affirms_proposition+written_at	252	252	probable	clm-de-dom-orat-affirms-baptism-regen|clm-de-dom-orat-written-carthage	work:de-dominica-oratione → work_affirms_proposition → proposition:baptism-effects-regeneration + work:de-dominica-oratione → written_at → place:carthage
edge-db0ae03892d0f9e6	proposition	old-testament-is-authoritative-scripture	place	carthage	proposition_place	derived	work_affirms_proposition+written_at	252	252	probable	clm-de-dom-orat-affirms-ot-authority|clm-de-dom-orat-written-carthage	work:de-dominica-oratione → work_affirms_proposition → proposition:old-testament-is-authoritative-scripture + work:de-dominica-oratione → written_at → place:carthage
edge-f521b05050ca221f	proposition	baptism-effects-regeneration	place	carthage	proposition_place	derived	work_affirms_proposition+written_at	252	252	probable	clm-ep64-affirms-baptism-regen|clm-ep64-written-carthage	work:epistula-64-cyprian → work_affirms_proposition → proposition:baptism-effects-regeneration + work:epistula-64-cyprian → written_at → place:carthage
edge-fd26aa278f1d7b86	proposition	eucharist-is-sacrifice	place	carthage	proposition_place	derived	work_affirms_proposition+written_at	252	252	probable	clm-de-dom-orat-affirms-eucharist-sacrifice|clm-de-dom-orat-written-carthage	work:de-dominica-oratione → work_affirms_proposition → proposition:eucharist-is-sacrifice + work:de-dominica-oratione → written_at → place:carthage
edge-e14b1643fd390380	person	novatian	place	carthage	person_place	direct	active_in	252	258	probable	clm-novatian-active-carthage-mission	person:novatian → active_in → place:carthage
edge-85133978f5da4be6	person	lucius-i-pope	place	rome	person_place	direct	bishop_of	253	254	attested	clm-lucius-i-bishop-rome	person:lucius-i-pope → bishop_of → place:rome
edge-2c4977e82040a334	proposition	heretic-baptism-is-invalid	place	rome	proposition_place	derived	person_opposes_proposition+bishop_of	254	257	probable	clm-stephen-i-bishop-rome|clm-stephen-i-opposes-rebaptism	person:stephen-i-pope → person_opposes_proposition → proposition:heretic-baptism-is-invalid + person:stephen-i-pope → bishop_of → place:rome
edge-502736a5c36ba941	person	stephen-i-pope	place	rome	person_place	direct	bishop_of	254	257	attested	clm-stephen-i-bishop-rome	person:stephen-i-pope → bishop_of → place:rome
edge-9c0f434f37af0904	proposition	apostolic-succession-transmits-faith	place	rome	proposition_place	derived	person_affirms_proposition+bishop_of	254	257	probable	clm-stephen-i-affirms-apostolic-succession|clm-stephen-i-bishop-rome	person:stephen-i-pope → person_affirms_proposition → proposition:apostolic-succession-transmits-faith + person:stephen-i-pope → bishop_of → place:rome
edge-ca93641f7b3d4740	proposition	bishop-succession-guarantees-apostolic-faith	place	rome	proposition_place	derived	person_affirms_proposition+bishop_of	254	257	probable	clm-stephen-i-affirms-episcopal-chair|clm-stephen-i-bishop-rome	person:stephen-i-pope → person_affirms_proposition → proposition:bishop-succession-guarantees-apostolic-faith + person:stephen-i-pope → bishop_of → place:rome
edge-d0b4e6a50986d325	proposition	heretic-baptism-is-invalid	place	caesarea-cappadocia	proposition_place	derived	person_affirms_proposition+bishop_of	254	268	probable	clm-firmilian-affirms-rebaptism|clm-firmilian-bishop-caesarea-capp	person:firmilian-of-caesarea → person_affirms_proposition → proposition:heretic-baptism-is-invalid + person:firmilian-of-caesarea → bishop_of → place:caesarea-cappadocia
edge-042d06ea46e3ad5b	proposition	rule-of-faith-received-from-apostles	place	carthage	proposition_place	derived	work_affirms_proposition+written_at	256	256	probable	clm-sent-affirms-rule-of-faith|clm-sententiae-written-carthage	work:sententiae-episcoporum → work_affirms_proposition → proposition:rule-of-faith-received-from-apostles + work:sententiae-episcoporum → written_at → place:carthage
edge-2f7f6cfc94ae0572	proposition	old-testament-is-authoritative-scripture	place	carthage	proposition_place	derived	work_affirms_proposition+written_at	256	256	probable	clm-ep73-affirms-ot-authority|clm-ep73-written-carthage	work:epistula-73-cyprian → work_affirms_proposition → proposition:old-testament-is-authoritative-scripture + work:epistula-73-cyprian → written_at → place:carthage
edge-38855dcb0aa02a09	proposition	baptism-effects-regeneration	place	carthage	proposition_place	derived	work_affirms_proposition+written_at	256	256	probable	clm-ep73-affirms-one-baptism|clm-ep73-written-carthage	work:epistula-73-cyprian → work_affirms_proposition → proposition:baptism-effects-regeneration + work:epistula-73-cyprian → written_at → place:carthage
edge-3a22d8edaf7d67d6	proposition	bishop-authority-over-eucharist	place	carthage	proposition_place	derived	work_mentions_proposition+written_at	256	256	probable	clm-ep73-affirms-bishop-eucharist|clm-ep73-written-carthage	work:epistula-73-cyprian → work_mentions_proposition → proposition:bishop-authority-over-eucharist + work:epistula-73-cyprian → written_at → place:carthage
edge-48ed5fc1885c5c71	proposition	baptism-effects-regeneration	place	carthage	proposition_place	derived	work_affirms_proposition+written_at	256	256	probable	clm-sent-affirms-baptism-regen|clm-sententiae-written-carthage	work:sententiae-episcoporum → work_affirms_proposition → proposition:baptism-effects-regeneration + work:sententiae-episcoporum → written_at → place:carthage
edge-5364ae3fe0238be6	proposition	old-testament-is-authoritative-scripture	place	carthage	proposition_place	derived	work_mentions_proposition+written_at	256	256	probable	clm-sent-affirms-ot-authority|clm-sententiae-written-carthage	work:sententiae-episcoporum → work_mentions_proposition → proposition:old-testament-is-authoritative-scripture + work:sententiae-episcoporum → written_at → place:carthage
edge-56392c521bd9aa60	proposition	threefold-ministry-required	place	carthage	proposition_place	derived	work_affirms_proposition+written_at	256	256	probable	clm-sent-affirms-threefold-ministry|clm-sententiae-written-carthage	work:sententiae-episcoporum → work_affirms_proposition → proposition:threefold-ministry-required + work:sententiae-episcoporum → written_at → place:carthage
edge-567f2e6dfd03f7b1	proposition	apostolic-succession-transmits-faith	place	carthage	proposition_place	derived	work_affirms_proposition+written_at	256	256	probable	clm-ep73-affirms-apostolic-succession|clm-ep73-written-carthage	work:epistula-73-cyprian → work_affirms_proposition → proposition:apostolic-succession-transmits-faith + work:epistula-73-cyprian → written_at → place:carthage
edge-5acd8776c694b5aa	proposition	baptism-with-water-commanded	place	carthage	proposition_place	derived	work_affirms_proposition+written_at	256	256	probable	clm-ep73-affirms-baptism-water|clm-ep73-written-carthage	work:epistula-73-cyprian → work_affirms_proposition → proposition:baptism-with-water-commanded + work:epistula-73-cyprian → written_at → place:carthage
edge-7152f29980367e43	proposition	episcopal-unity-grounds-church-unity	place	carthage	proposition_place	derived	work_affirms_proposition+written_at	256	256	probable	clm-ep73-affirms-episcopal-unity|clm-ep73-written-carthage	work:epistula-73-cyprian → work_affirms_proposition → proposition:episcopal-unity-grounds-church-unity + work:epistula-73-cyprian → written_at → place:carthage
edge-8f44e43a5ce643cc	proposition	episcopal-unity-grounds-church-unity	place	carthage	proposition_place	derived	work_affirms_proposition+written_at	256	256	probable	clm-sent-affirms-episcopal-unity|clm-sententiae-written-carthage	work:sententiae-episcoporum → work_affirms_proposition → proposition:episcopal-unity-grounds-church-unity + work:sententiae-episcoporum → written_at → place:carthage
edge-9066d8e400f1da81	proposition	heretic-baptism-is-invalid	place	carthage	proposition_place	derived	work_affirms_proposition+written_at	256	256	probable	clm-ep73-affirms-rebaptism|clm-ep73-written-carthage	work:epistula-73-cyprian → work_affirms_proposition → proposition:heretic-baptism-is-invalid + work:epistula-73-cyprian → written_at → place:carthage
edge-a80f4b7bf4381a90	proposition	heretic-baptism-is-invalid	place	carthage	proposition_place	derived	work_affirms_proposition+written_at	256	256	probable	clm-sent-affirms-rebaptism|clm-sententiae-written-carthage	work:sententiae-episcoporum → work_affirms_proposition → proposition:heretic-baptism-is-invalid + work:sententiae-episcoporum → written_at → place:carthage
edge-c130feba0e2ca884	work	sententiae-episcoporum	place	carthage	work_place	direct	written_at	256	256	attested	clm-sententiae-written-carthage	work:sententiae-episcoporum → written_at → place:carthage
edge-c2ba042a65e6f590	proposition	baptism-administered-in-trinitarian-name	place	carthage	proposition_place	derived	work_affirms_proposition+written_at	256	256	probable	clm-ep73-affirms-trinitarian-baptism|clm-ep73-written-carthage	work:epistula-73-cyprian → work_affirms_proposition → proposition:baptism-administered-in-trinitarian-name + work:epistula-73-cyprian → written_at → place:carthage
edge-cdd192e2fb783e3a	proposition	post-baptismal-sin-forgiven-by-penance	place	carthage	proposition_place	derived	work_mentions_proposition+written_at	256	256	probable	clm-ep73-affirms-penance|clm-ep73-written-carthage	work:epistula-73-cyprian → work_mentions_proposition → proposition:post-baptismal-sin-forgiven-by-penance + work:epistula-73-cyprian → written_at → place:carthage
edge-da2f0547e9201a90	work	epistula-73-cyprian	place	carthage	work_place	direct	written_at	256	256	attested	clm-ep73-written-carthage	work:epistula-73-cyprian → written_at → place:carthage
edge-dd32b49849da218c	proposition	baptism-administered-in-trinitarian-name	place	carthage	proposition_place	derived	work_affirms_proposition+written_at	256	256	probable	clm-sent-affirms-trinitarian-baptism|clm-sententiae-written-carthage	work:sententiae-episcoporum → work_affirms_proposition → proposition:baptism-administered-in-trinitarian-name + work:sententiae-episcoporum → written_at → place:carthage
edge-e49258df0e821700	proposition	post-baptismal-sin-forgiven-by-penance	place	carthage	proposition_place	derived	work_mentions_proposition+written_at	256	256	probable	clm-sent-mentions-penance|clm-sententiae-written-carthage	work:sententiae-episcoporum → work_mentions_proposition → proposition:post-baptismal-sin-forgiven-by-penance + work:sententiae-episcoporum → written_at → place:carthage
