proposition_id	place_id	year_start	year_end	stance	supporting_claim_count	opposing_claim_count	derived_edge_ids	derivation_hash
martyrdom-witnesses-to-christ	corinth	95	96	affirms	1	0	edge-516c039c5f8f0502	drv-3d56690b12ce43d9
martyrdom-witnesses-to-christ	rome	95	96	affirms	1	0	edge-6cdeca89bceb2df7	drv-efda60c7c88868ec
old-testament-is-authoritative-scripture	corinth	95	96	affirms	1	0	edge-b03608cd09111f8b	drv-e19135bc44de7a33
old-testament-is-authoritative-scripture	rome	95	96	affirms	1	0	edge-797ff642d57a9e97	drv-72e599042433d011
ordination-conferred-by-laying-on-of-hands	corinth	95	96	affirms	1	0	edge-758840b23f9edfe6	drv-47ba422243cc0cf6
ordination-conferred-by-laying-on-of-hands	rome	95	96	affirms	1	0	edge-5362b79e04c10a76	drv-88cb7b4488bad187
repentance-is-required	corinth	95	96	affirms	1	0	edge-d25c86a321641500	drv-d38f972686b8780c
repentance-is-required	rome	95	96	affirms	1	0	edge-fb712b5f7d39ac81	drv-4b30199b5ef1b344
rule-of-faith-received-from-apostles	corinth	95	96	affirms	1	0	edge-44a8563dea11a905	drv-358259523cafbeb6
rule-of-faith-received-from-apostles	rome	95	96	affirms	1	0	edge-c0213988523ec3ac	drv-5e13df110abeae91
threefold-ministry-required	corinth	95	96	affirms	1	0	edge-31b4e7a3ae3f0805	drv-a3e951ca7a67b185
threefold-ministry-required	rome	95	96	affirms	1	0	edge-18eb6494c6f28820	drv-c505ca041f6c0243
apostolic-succession-transmits-faith	hierapolis	95	110	affirms	1	0	edge-b9edc8f4527f9060	drv-ad961660133f757a
bodies-will-be-raised-at-last-day	hierapolis	95	110	affirms	1	0	edge-5576370611cf4e67	drv-4e8bac0ba0cc2dbc
rule-of-faith-received-from-apostles	hierapolis	95	110	affirms	1	0	edge-af79da58e8becbb8	drv-aec6c747528df286
bodies-will-be-raised-at-last-day	antioch	100	135	opposes	0	1	edge-a7e45a6930ba437d	drv-b32a45f89248fdd7
christ-truly-became-flesh	antioch	100	135	opposes	0	1	edge-877da3f6cdc4359b	drv-bae444882173a4ca
christ-truly-suffered-and-died	antioch	100	135	opposes	0	1	edge-8642536c09bfb3b6	drv-92c56a20d29de0d6
jesus-born-of-virgin	antioch	100	135	opposes	0	1	edge-d69eea9332f3109c	drv-ca7cbf1946e56c19
logos-is-pre-existent-son-of-god	antioch	100	135	opposes	0	1	edge-d5ecfd30fb69ca2a	drv-96972535447b7efe
old-testament-is-authoritative-scripture	antioch	100	135	opposes	0	1	edge-12fba476d2165f6c	drv-0945b99e38a5581c
